name,tag,description,unit,carbo,fiber,protein,fat,saturated_fat,n3,DHA_EPA,n6,ca,cl,cr,cu,i,fe,mg,mn,mo,p,k,se,na,zn,va,vb1,vb2,vb3,vb5,vb6,vb7,vb9,vb12,vc,vd,ve,vk,colin,kcal
男性18-29歳(推奨量),Requirements,「日本人の食事摂取基準（2025年版）」策定検討会報告書,63,325,20,65,57.8,20.2,2.2,,12,800,,10,0.8,140,7,340,3.5,30,1000,2500,30,600,9,850,1.1,1.6,15,6,1.5,50,240,4,100,9,6.5,150,,2600
男性30-49(推奨量),Requirements,「日本人の食事摂取基準（2025年版）」策定検討会報告書,70,343.75,22,65,61.1,21.4,2.2,,11,750,,10,0.9,140,7.5,380,3.5,30,1000,2500,35,600,9.5,900,1.2,1.7,16,6,1.5,50,240,4,100,9,6.5,150,,2750
女性18-29(推奨量),Requirements,「日本人の食事摂取基準（2025年版）」策定検討会報告書,50,243.75,18,50,43.3,15.2,1.7,,9,650,,10,0.7,140,6,280,3,25,800,2000,25,600,7.5,650,0.8,1.2,11,5,1.2,50,240,4,100,9,5,150,,1950
女性30-49(推奨量),Requirements,「日本人の食事摂取基準（2025年版）」策定検討会報告書,54,256.25,18,50,45.6,15.9,1.7,,9,650,,10,0.7,140,6,290,3,25,800,2000,25,600,8,700,0.9,1.2,12,5,1.2,50,240,4,100,9,6,150,,2050
